Name_1,RAobs,Decobs,delta,z,S(6)_t,pmt,S(6)_p,pmp,f_c,logL,i_1,I_1a,R,LD_cm,Lobs,L_1.4GHz,SFR (Msun/yr),NAME_2,RA2000,DEC2000,SDSS_NAME,RA_1,DEC_1,REDSHIFT,PLATE,FIBER,MJD,MI_Z2,FINT_REST6CM_MJY_OBS,Separation_1,RA_2,DEC_2,Peak_flux,E_Peak_flux,Total_flux,E_Total_flux,Maj,E_Maj,Min,E_Min,Separation
145817.42+455514.9,145817.428,455514.72,0.2,0.286,95.0,16.3,47.5,4.7,0.500,22.35,17.381,-22.9,0.23,4.53516978871925E27,22.3901205711433,22.9090054994488,47.8473082975568,145817.42+455514.9,224.57261666666665,45.92075555555555,b'145817.42+455514.9',224.57260131835938,45.92081832885742,0.2856999933719635,1676,518,53147,-23.9172890480902,0.0,0.22922948901184725,224.57331760397764,45.920955726487904,0.41137308119888094,0.07691897748548455,1.1772362099146663,0.2899813255292529,13.764194602876465,3.0238103776886414,7.486343887995224,1.1914101146945706,1.8975447787847954
093653.84+533126.8,93653.834,533126.81,0.06,0.228,95.0,11.4,95,11.4,1.000,22.13,16.465,-23.32,0.1,3.50369312130466E27,22.165985590353,22.6708406974104,27.6498455081096,093653.84+533126.8,144.22430833333334,53.52411388888889,b'093653.84+533126.8',144.22434997558594,53.52412414550781,0.2281000018119812,768,473,52281,-24.02503303164174,0.0,0.09646665316063359,144.22455868786116,53.524012119363704,0.6553777997580802,0.06306566709091975,1.7689371748773914,0.22554882370886115,11.833974546274224,1.2582165473447051,8.213937850233572,0.7153675013527765,0.6490792382872936
100744.54+500746.6,100744.55,500746.78,0.2,0.212,99.8,7.6,99.8.,7.6,1.000,22.08,16.8,-22.83,0.14,3.22832214171443E27,22.1162941348497,22.6171622190247,24.4351061867982,100744.54+500746.6,151.935625,50.129661111111105,b'100744.54+500746.6',151.9356231689453,50.12963104248047,0.21209999918937683,1006,586,52708,-23.508584508828903,0.0,0.10832951892089156,,,,,,,,,,,
132059.41+295728.1,132059.403,295728.18,0.27,0.206,112.0,8.7,112,8.7,1.000,22.11,16.918,-22.65,0.18,3.12611443822801E27,22.1384376312315,22.6377969969882,25.6241228987953,132059.41+295728.1,200.24751249999997,29.957827777777773,b'132059.41+295728.1',200.24757385253906,29.95781898498535,0.20630000531673431,2002,538,53471,-23.31205230470566,0.0,0.19395991351308767,200.24769219696122,29.957762621390177,1.2094940631968571,0.09642696005135545,1.377564993285832,0.1840483083902378,7.294716671503182,0.6568289856057377,5.621600595068943,0.3968309857778947,0.6075813943862411
100528.34+423037.5,100528.35,423036.99,0.52,0.257,114.0,6.1,114,6.1,1.000,22.33,16.736,-23.31,0.16,4.01303392845289E27,22.3630603783984,22.8750113230724,44.2449119038622,100528.34+423037.5,151.36812500000002,42.51027499999999,b'100528.34+423037.5',151.36810302734375,42.510433197021484,0.2572999894618988,1217,618,52672,-24.221624798349524,0.0,0.5724865835922106,151.36814496711608,42.51034590552691,1.3471961573365516,0.07117989367127342,2.1481542426126286,0.17071738375968412,8.1582099437724,0.4561868975807063,7.037794342091783,0.3513513599202521,0.2607016256203717
104111.97+282805.0,104111.96,282804.87,0.19,0.211,116.0,9.2,116,9.2,1.000,22.14,16.17,-23.45,0.09,3.21124723375933E27,22.1770153395761,22.67763249007,28.0856514416829,104111.97+282805.0,160.29983333333334,28.468019444444444,b'104111.97+282805.0',160.2998809814453,28.468082427978516,0.210999995470047,2356,575,53786,-24.129906288683188,0.0,0.27230417140782404,160.3000121820446,28.46819941106477,0.7465928364998216,0.09004271284959994,0.7070011716594331,0.15073919301363117,6.166658980077488,0.7865583798728688,5.529593905956146,0.6305821998540774,0.8602944635907133
105416.19+351124.1,105416.2,351124.02,0.15,0.205,119.0,10.6,119,10.6,1.000,22.13,16.783,-22.78,0.17,3.10913636453611E27,22.160036366038,22.6591435491694,26.9150729225071,105416.19+351124.1,163.56750000000002,35.19000555555556,b'105416.19+351124.1',163.56747436523438,35.1900520324707,0.20469999313354492,2090,8,53463,-23.43522077873631,0.0,0.1835294511692295,163.56751753135075,35.19012910477268,0.7250084852530887,0.0720484994202411,0.9576467798404763,0.15171899664504027,7.699507579899252,0.8414790634948444,6.176258261721179,0.5580958389740435,0.44775785805770624
113858.79+450338.5,113858.81,450338.33,0.27,0.3,122.0,10.6,122,10.6,1.000,22.51,17.475,-22.91,0.33,4.79168136192356E27,22.5465455557969,23.0687221527055,69.1152947323913,113858.79+450338.5,174.74504166666668,45.06064722222222,b'113858.79+450338.5',174.74497985839844,45.06070327758789,0.2996000051498413,1367,419,53083,-23.984618869292603,0.0,0.25578473601561613,174.74486091871256,45.06056285393121,0.5805434194987722,0.06961797354822004,0.8216274403187884,0.15318618151638017,7.472273002868717,0.930689627977695,6.818597028066173,0.7872564426032718,0.5509101450504061
163124.42+295301.5,163124.435,295301.46,0.2,0.254,125.0,7.9,125,7.9,1.000,22.35,16.707,-23.32,0.17,3.95974237809773E27,22.3914537400882,22.9026782659283,47.1552745283462,163124.42+295301.5,247.85181250000002,29.883738888888885,b'163124.42+295301.5',247.85177612304688,29.883769989013672,0.25440001487731934,1685,260,53463,-24.20752202256738,0.0,0.15946017636627252,247.85154898208964,29.88356992081927,0.8588012555644716,0.11400443554736904,1.2999512191579612,0.2636461905128187,8.057854896863713,1.1469781594237591,6.763877255686721,0.8373714927464756,1.023017450928244
153539.25+564406.5,153539.198,564406.18,0.54,0.207,126.0,15.5,126,15.5,1.000,22.16,16.672,-22.91,0.16,3.1431086997646E27,22.1942992105586,22.6939105499205,29.1583242780474,153539.25+564406.5,233.913325,56.73505,b'153539.25+564406.5',233.91354370117188,56.735145568847656,0.20739999413490295,617,352,52072,-23.57726603840908,0.0,0.5521488348437741,233.91368798600624,56.735154723652336,1.957835313366754,0.0719265471036166,2.834800817726145,0.16082069028830498,7.531934488023138,0.28646626556738763,6.922073448396639,0.2456378906119678,0.8098682076509639
