,SDSS_NAME,RA,DEC,REDSHIFT,PLATE,FIBER,MJD
1292,b'003330.69+004251.4',8.377894401550293,0.7142850160598755,0.5383999943733215,1086,426,52525
1311,b'003405.55-085925.5',8.523158073425293,-8.990433692932129,0.45730000734329224,654,566,52146
1328,b'003417.98+143711.3',8.574917793273926,14.619816780090332,0.5684000253677368,417,64,51821
1337,b'003424.55+142353.6',8.602333068847656,14.398247718811035,0.5759999752044678,417,66,51821
1342,b'003431.74-001312.7',8.632264137268066,-0.22019900381565094,0.38109999895095825,392,240,51793
1353,b'003447.66+134917.3',8.6986083984375,13.821492195129395,0.5985000133514404,418,282,51817
1361,b'003500.12+152301.0',8.750530242919922,15.383625984191895,0.5853999853134155,418,426,51817
1372,b'003511.48-004918.0',8.797845840454102,-0.8216710090637207,0.1860000044107437,392,220,51793
1377,b'003517.63-011338.1',8.823464393615723,-1.2272759675979614,0.5674999952316284,690,300,52261
1406,b'003551.42+003545.4',8.96427059173584,0.5959720015525818,0.43070000410079956,392,498,51793
1428,b'003618.41-105503.0',9.076732635498047,-10.917515754699707,0.40849998593330383,654,7,52146
1451,b'003644.71+160830.6',9.186325073242188,16.141860961914062,0.4650999903678894,418,402,51817
1452,b'003644.84+160728.3',9.186859130859375,16.12454605102539,0.5133000016212463,418,401,51817
1466,b'003657.17-100810.6',9.238245010375977,-10.1362943649292,0.18770000338554382,655,315,52162
1473,b'003711.00+002127.8',9.295846939086914,0.35773301124572754,0.23520000278949738,392,496,51793
1474,b'003712.00-095606.9',9.300026893615723,-9.935275077819824,0.4072999954223633,654,640,52146
1477,b'003715.74+154306.0',9.315617561340332,15.718354225158691,0.4837000072002411,418,446,51817
1479,b'003719.84+011114.6',9.332694053649902,1.1873960494995117,0.4004000127315521,1494,570,52937
1483,b'003723.49+000812.5',9.347906112670898,0.1368200033903122,0.2517000138759613,392,520,51793
1502,b'003752.29-000106.3',9.467880249023438,-0.018442999571561813,0.5902000069618225,690,172,52261
1503,b'003753.72-093331.8',9.47386646270752,-9.558837890625,0.39890000224113464,655,395,52162
1511,b'003759.49+005311.2',9.497883796691895,0.8864669799804688,0.5113000273704529,690,401,52261
1512,b'003759.51+155543.1',9.497962951660156,15.928645133972168,0.5313000082969666,418,459,51817
1515,b'003803.16-095521.5',9.513195037841797,-9.922660827636719,0.35190001130104065,655,307,52162
1541,b'003846.90+150708.1',9.695442199707031,15.118941307067871,0.4383000135421753,418,481,51817
1544,b'003852.32+153516.2',9.718038558959961,15.587850570678711,0.5597000122070312,418,504,51817
1563,b'003921.33-010950.0',9.838879585266113,-1.1638929843902588,0.4869000017642975,690,84,52261
1579,b'003931.58-111102.3',9.88160514831543,-11.183978080749512,0.552299976348877,655,219,52162
1581,b'003933.39-000745.1',9.889140129089355,-0.12922100722789764,0.5766000151634216,690,152,52261
1588,b'003943.19+072705.1',9.92997932434082,7.4514360427856445,0.5929999947547913,2327,112,53710
1609,b'004017.00+155119.9',10.070859909057617,15.855530738830566,0.5360000133514404,1897,336,53242
1613,b'004022.20+145503.6',10.092530250549316,14.917675018310547,0.4887999892234802,419,316,51879
1620,b'004030.88-095359.3',10.128702163696289,-9.899808883666992,0.43140000104904175,655,182,52162
1621,b'004032.10-001350.8',10.133767127990723,-0.2307939976453781,0.24199999868869781,691,314,52199
1628,b'004038.39+160949.9',10.159994125366211,16.163881301879883,0.2937000095844269,418,566,51817
1637,b'004047.06-001710.9',10.19609260559082,-0.28637999296188354,0.5576000213623047,690,110,52261
1640,b'004052.14+000057.2',10.217287063598633,0.015893999487161636,0.40560001134872437,392,35,51793
1665,b'004134.16+010018.9',10.392369270324707,1.0052709579467773,0.48739999532699585,690,604,52261
1670,b'004141.06-001937.8',10.421125411987305,-0.3271769881248474,0.46380001306533813,691,313,52199
1677,b'004148.30+150406.0',10.451289176940918,15.068340301513672,0.3971000015735626,419,391,51879
1681,b'004150.65+000728.1',10.461058616638184,0.12447600066661835,0.45579999685287476,690,598,52261
1684,b'004153.73+004155.3',10.473893165588379,0.6987040042877197,0.5587000250816345,690,583,52261
1703,b'004213.46+005917.7',10.55610466003418,0.9882540106773376,0.328900009393692,393,369,51794
1713,b'004222.29-103743.8',10.592880249023438,-10.628841400146484,0.42399999499320984,656,282,52148
1714,b'004224.52-010135.4',10.60220718383789,-1.0265079736709595,0.4571000039577484,691,282,52199
1737,b'004250.54+010205.9',10.710594177246094,1.034980058670044,0.599399983882904,1495,401,52944
1740,b'004253.76-100735.2',10.724029541015625,-10.126452445983887,0.5202999711036682,656,270,52148
1755,b'004316.50+001045.1',10.818781852722168,0.17920200526714325,0.5799999833106995,691,394,52199
1759,b'004319.73+005115.4',10.832243919372559,0.8542910218238831,0.3082999885082245,393,407,51794
1778,b'004338.54-005814.6',10.910589218139648,-0.9707390069961548,0.5590999722480774,393,201,51794
1779,b'004339.32+134436.5',10.913874626159668,13.743480682373047,0.5268999934196472,419,201,51879
1824,b'004442.07-004210.2',11.175309181213379,-0.7028599977493286,0.5576000213623047,691,208,52199
1836,b'004458.68+004319.8',11.244501113891602,0.7221800088882446,0.3499000072479248,393,488,51794
1837,b'004459.90-103912.1',11.249611854553223,-10.653366088867188,0.5963000059127808,656,214,52148
1850,b'004512.26+002827.1',11.301102638244629,0.4742160141468048,0.5177000164985657,691,463,52199
1857,b'004517.10+010704.5',11.32126522064209,1.1179310083389282,0.5019999742507935,1085,578,52531
1900,b'004616.68+000249.1',11.56952953338623,0.04697199910879135,0.4528999924659729,691,172,52199
1907,b'004630.37+005231.8',11.626558303833008,0.8755249977111816,0.5013999938964844,691,539,52199
1918,b'004640.59-005710.8',11.669157981872559,-0.9530240297317505,0.5005999803543091,691,90,52199
1922,b'004646.00+002729.6',11.691681861877441,0.45823198556900024,0.4666999876499176,691,505,52199
1936,b'004712.57-084330.8',11.802413940429688,-8.725234985351562,0.4456000030040741,656,450,52148
1945,b'004719.16+002807.6',11.829872131347656,0.4687890112400055,0.5156000256538391,393,585,51794
2004,b'004839.48-010029.3',12.16454029083252,-1.0081510543823242,0.3646000027656555,691,48,52199
2017,b'004859.93+140240.2',12.249716758728027,14.044525146484375,0.4587000012397766,419,11,51879
2039,b'004930.90+153216.3',12.378752708435059,15.537881851196289,0.23960000276565552,420,397,51871
2055,b'005001.40+001841.5',12.505851745605469,0.3115279972553253,0.4997999966144562,1084,429,52591
2080,b'005034.69-003608.7',12.64454460144043,-0.6024410128593445,0.45730000734329224,1084,134,52591
2091,b'005048.60+134351.6',12.702530860900879,13.731017112731934,0.5232999920845032,420,241,51871
2110,b'005118.28+135448.1',12.826194763183594,13.913371086120605,0.13770000636577606,420,248,51871
2116,b'005125.65+004240.3',12.85688591003418,0.7112110257148743,0.4997999966144562,394,456,51913
2121,b'005129.72-084304.9',12.87385368347168,-8.718050003051758,0.4830000102519989,657,368,52177
2147,b'005205.56+003538.1',13.023186683654785,0.5939390063285828,0.3993000090122223,1132,510,52903
2164,b'005232.43+005123.0',13.135139465332031,0.8564029932022095,0.40860000252723694,692,419,52201
2200,b'005328.81-085755.1',13.370046615600586,-8.96532154083252,0.2590000033378601,657,457,52177
2216,b'005403.42+154448.6',13.514262199401855,15.746861457824707,0.4325999915599823,420,578,51871
2232,b'005429.43+005848.2',13.622645378112793,0.980072021484375,0.5037999749183655,692,540,52201
2238,b'005446.22+140019.0',13.692588806152344,14.005289077758789,0.5015000104904175,420,82,51871
2264,b'005515.79-004952.8',13.815796852111816,-0.8313369750976562,0.45809999108314514,692,98,52201
2282,b'005548.84+002939.3',13.953509330749512,0.49427101016044617,0.4481000006198883,395,347,51783
2283,b'005550.75-101905.7',13.961488723754883,-10.318249702453613,0.3091000020503998,657,66,52177
2310,b'005637.11-002649.9',14.154626846313477,-0.44721099734306335,0.47360000014305115,692,78,52201
2332,b'005704.42+141759.3',14.268424034118652,14.299816131591797,0.3000999987125397,421,318,51821
2339,b'005709.94+144610.1',14.291422843933105,14.769489288330078,0.1720999926328659,421,307,51821
2348,b'005717.88+003242.9',14.324539184570312,0.5452730059623718,0.49149999022483826,395,377,51783
2355,b'005729.13-093258.4',14.371379852294922,-9.549583435058594,0.5582000017166138,658,430,52146
2360,b'005737.71+144259.4',14.407139778137207,14.716506958007812,0.24060000479221344,421,261,51821
2366,b'005748.11+002246.4',14.450477600097656,0.37956398725509644,0.48190000653266907,693,381,52254
2380,b'005812.84+160201.4',14.55350399017334,16.033729553222656,0.21060000360012054,421,329,51821
2383,b'005816.38-104018.8',14.568275451660156,-10.671896934509277,0.436599999666214,658,294,52146
2396,b'005838.95-102651.3',14.66232681274414,-10.447604179382324,0.48980000615119934,658,179,52146
2415,b'005916.10+153816.1',14.817102432250977,15.63780689239502,0.35420000553131104,421,371,51821
2421,b'005921.37+004108.8',14.839042663574219,0.6857789754867554,0.4223000109195709,395,538,51783
2433,b'005939.80-011445.7',14.915867805480957,-1.2460500001907349,0.45730000734329224,693,216,52254
2478,b'010112.06-094500.8',15.300285339355469,-9.750227928161621,0.3504999876022339,658,555,52146
2479,b'010113.03-092742.1',15.304301261901855,-9.46170711517334,0.3571000099182129,658,548,52146
2501,b'010151.08+002028.9',15.462859153747559,0.34136199951171875,0.3221000134944916,395,597,51783
2510,b'010204.37-103805.8',15.518210411071777,-10.634970664978027,0.3041999936103821,658,99,52146
2515,b'010209.82+133152.8',15.54095458984375,13.53133773803711,0.38940000534057617,421,87,51821
2519,b'010212.58+001433.5',15.552425384521484,0.24264800548553467,0.491100013256073,693,512,52254
2523,b'010226.31-003904.6',15.609665870666504,-0.6512809991836548,0.29429998993873596,396,276,51816
2527,b'010230.03-003206.8',15.625149726867676,-0.5352270007133484,0.34279999136924744,395,25,51783
2564,b'010342.73+002537.2',15.928064346313477,0.42701300978660583,0.3935999870300293,395,623,51783
2582,b'010407.00+011412.9',16.029197692871094,1.236930012702942,0.31189998984336853,396,364,51816
2599,b'010448.57-091013.0',16.202394485473633,-9.170287132263184,0.4681999981403351,659,348,52199
2612,b'010514.11-010223.0',16.30879783630371,-1.0397310256958008,0.5478000044822693,396,122,51816
2631,b'010559.51+154957.9',16.497987747192383,15.83275318145752,0.5133000016212463,422,336,51811
2641,b'010618.71-002204.0',16.577972412109375,-0.367794007062912,0.4471000134944916,693,27,52254
2661,b'010644.15-103410.5',16.683992385864258,-10.569602012634277,0.4677000045776367,659,209,52199
